STATION CODE|LOCATIONS|STATE|TEMP|DO|pH|CONDUCTIVITY|BOD|NITRATE_N_NITRITE_N|FECAL_COLIFORM|TOTAL_COLIFORM
169|GIRI AT D/S YASHWANT NaNGAR|HIMACHAL PRADESH|17.4|7.9|7.3|242.0|0.7|1.5|5.0|17.0
170|GIRI AT U/S CCI MINES|HIMACHAL PRADESH|21.9|8.1|7.6|508.0|1.1|0.4|8.0|17.0
171|GIRI D/S SATAUN|HIMACHAL PRADESH|22.8|7.9|7.6|467.0|1.4|0.3|8.0|17.0
172|PABBAR AT U/S DHAMBARI|HIMACHAL PRADESH|10.5|9.3|6.9|82.0|0.2|0.3|4.0|8.0
173|PABBAR AT U/S ROHRU|HIMACHAL PRADESH|11.2|9.3|6.9|86.0|0.3|0.4|2.0|8.0
174|PABBAR AT D/S SWARAKUDDU|HIMACHAL PRADESH|12.6|9.0|7.0|163.0|0.3|0.3|3.0|9.0
176|HINDON AT GHAZIABAD D/S, U.P.|UTTAR PRADESH|24.3|1.1|7.4|1499.0|75.6|0.6|174167.0|250000.0
177|HINDON AT SAHARANPUR D/S, U.P.|UTTAR PRADESH|20.1|0.8|7.4|586.0|24.0|0.0|5692.0|8150.0
178|TONS AT CHAKGHAT, M.P.|MADHYA PRADESH|26.8|6.4|7.6|576.0|2.8|2.0|20.0|211.0
181|BETWA AT GOVIND SAGAR, U.P|UTTAR PRADESH|27.5|6.7|8.5|218.0|3.0|0.0|3150.0|13310.0
182|BETWA BEFORE CONF. YAMUNaN AT HAMIRPUR, U.P.|UTTAR PRADESH|24.0|7.1|8.1|386.0|3.2|0.0|3580.0|15300.0
185|CHAMBAL ENTERING IN RAJASTHAN AT GANDHI SAGAR DAM, KOTA, RAJASTHAN|RAJASTHAN|26.2|5.6|7.8|317.0|0.8|0.6|4.0|5.0
187|CHAMBAL AT KOTA U/S (INTAKE PT. NEAR BARRAGE), RAJASTHAN|RAJASTHAN|27.8|6.0|7.9|301.0|0.8|0.4|4.0|5.0
188|CHAMBAL AT KOTA D/S (2 KM. FROM CITY),RAJASTHAN|RAJASTHAN|26.6|5.9|8.4|546.0|2.0|0.6|13.0|642.0
189|CHAMBAL AT RAMESHWARGHAT NR. SAWAIMADHOPUR, RAJASTHAN|RAJASTHAN|24.7|5.3|8.2|608.0|1.3|0.7|4.0|14.0
193|PARVATI BEFORE MEETING RIVER CHAMBAL AT KHATOLI, KOTA, RAJASTHAN|RAJASTHAN|25.8|5.2|8.2|556.0|1.0|0.6|4.0|10.0
195|KHAN AT KABIT KHEDI (NEAR INDORE) M.P.|MADHYA PRADESH|28.0|0.0|7.3|1507.0|40.0|45.5|41.0|1600.0
199|KALI SINDH AT ANICUT OF M/S CFCL GADEPAN, KOTA, RAJASTHAN|RAJASTHAN|25.6|5.4|8.0|489.0|0.9|0.6|4.0|7.0
200|KALI SINDH AT BAROD ROAD BRIDGE, KOTA, RAJASTHAN|RAJASTHAN|26.1|5.2|8.3|587.0|0.9|0.5|4.0|6.0
202|BICHIA, BRIDGE GOVINDGARH ROAD|MADHYA PRADESH|26.3|5.4|7.6|607.0|5.2|3.3|48.0|633.0
206|BANaNS AT DHANaNRI DAM, NEAR SWAROOPGANJ, SIROHI, RAJASTHAN|RAJASTHAN|23.9|6.2|7.7|404.0|1.2|0.5|4.0|6.0
208|BANaNS AT NEAR NEWTA DAM, JAIPUR, RAJASTHAN|RAJASTHAN|23.2|2.4|8.2|1596.0|7.3|0.9|13.0|883.0
210|UJAD AT UPSTREAM OF BHIM SAGAR DAM, JHALAWAR, RAJASTHAN|RAJASTHAN|25.9|5.6|8.0|265.0|0.9|0.5|4.0|6.0
211|TEESTA AT SILIGURI|WEST BENGAL|20.8|7.5|7.4|86.0|2.0|0.5|2833.0|6700.0
212|KUNDLI RIVER AT KUNDLI/ SAPAKHOWA, SADIA.|ASSAM|24.8|6.5|7.3|195.0|1.7|0.8|1258.0|1530.0
213|DIKHOW RIVER AT DIKHOW BRIDGE SIVASAGAR|ASSAM|25.7|7.1|7.1|287.0|1.3|1.4|423.0|2320.0
214|KOHORA RIVER AT N.H. CROSSING, KOHORA|ASSAM|24.3|8.1|6.7|58.0|1.3|0.4|318.0|4598.0
215|BOGINaNDI NEAR BRIDGE NH-52, LAKHIMPUR|ASSAM|24.0|7.7|6.6|177.0|1.3|1.6|875.0|29558.0
216|RANGA NaNDI D/S OF HYDEL PROJECT|ASSAM|25.0|7.7|6.9|157.0|1.2|1.3|465.0|11818.0
217|KAPILI RIVER AT DHARMTUL BRIDGE, NH-31, NaNGAON|ASSAM|25.5|7.3|6.5|138.0|1.7|0.6|175.0|615.0
218|BEKI RIVER AT NH-37 CROSSING AT BARPETA ROAD|ASSAM|26.9|5.8|7.1|220.0|1.3|1.6|228.0|1133.0
219|SANKOSH RIVER, DHUBRI|ASSAM|29.0|5.3|6.8|132.0|2.3|0.8|1280.0|62780.0
