STATION CODE,STATE,District,Lat,Lng
964,Tamil Nadu,Tirunelveli,8.7288,77.7046
965,Tamil Nadu,Salem,11.6521,78.1580
966,Punjab,Mansa district,29.9833,75.3833
967,Punjab,Mansa district,29.9833,75.3833
968,Punjab,Mohali district,30.6900,76.7200
969,Punjab,Mansa district,29.9833,75.3833
970,Punjab,Mohali district,30.6900,76.7200
971,Punjab,Ludhiana,30.9008,75.7721
972,Punjab,Ludhiana,30.9008,75.7721
973,Punjab,Mansa district,29.9833,75.3833
974,Punjab,Mansa district,29.9833,75.3833
975,Punjab,Sangrur,30.2506,75.8442
976,Punjab,Mansa district,29.9833,75.3833
977,Punjab,Mansa district,29.9833,75.3833
982,Rajasthan,Jaipur,26.9210,75.7944
983,Himachal Pradesh,Sirmaur district,30.5628,77.4702
984,Himachal Pradesh,Sirmaur district,30.5628,77.4702
985,Himachal Pradesh,Sirmaur district,30.5628,77.4702
986,Himachal Pradesh,Solan district,30.9084,77.0999
987,Rajasthan,Sirohi,24.8848,72.8535
988,Rajasthan,Sirohi,24.8848,72.8535
989,Rajasthan,Pali,25.7898,73.3278
990,Rajasthan,Hanumangarh,29.6109,74.2951
991,Rajasthan,Pali,25.7898,73.3278
992,Madhya Pradesh,Jabalpur,23.1657,79.9324
993,Meghalaya,South Garo Hills district,25.3301,90.5636
994,Meghalaya,South Garo Hills district,25.3301,90.5636
995,Meghalaya,East Garo Hills district,25.5672,90.5258
996,Meghalaya,East Jainta hills,25.3101,92.5
997,Meghalaya,East Jainta hills,25.3101,92.5
998,Meghalaya,West Khasi Hills district,25.5625,91.2891
999,Meghalaya,West Khasi Hills district,25.5625,91.2891
1000,Meghalaya,West Khasi Hills district,25.5625,91.2891
1001,Meghalaya,West Khasi Hills district,25.5625,91.2891
1002,Meghalaya,West Khasi Hills district,25.5625,91.2891
1003,Meghalaya,West Khasi Hills district,25.5625,91.2891
1004,Meghalaya,West Khasi Hills district,25.5625,91.2891
1005,Meghalaya,West Khasi Hills district,25.5625,91.2891
1006,Meghalaya,East Garo Hills district,25.5672,90.5258
1007,Meghalaya,East Garo Hills district,25.5672,90.5258
1008,Meghalaya,East Jainta hills,25.3101,92.5
1009,Meghalaya,East Jainta hills,25.3101,92.5
1010,Meghalaya,East Jainta hills,25.3101,92.5
1011,Meghalaya,East Jainta hills,25.3101,92.5
1012,Meghalaya,West Khasi Hills district,25.5625,91.2891
1013,Meghalaya,West Khasi Hills district,25.5625,91.2891
1014,Meghalaya,East Jainta hills,25.3101,92.5
1015,Meghalaya,East Khasi Hills district,25.3682,91.7539
